report_id	vehicle_id	status	date_submit	model_year	date_built	model_version	model_package	city	state	country	postal_code	user_alias	date_acquired	unit_distance	odo_acquired_raw	odometer_raw	odometer_miles	range_mode_ideal_range_raw	range_mode_ideal_range_miles	standard_mode_ideal_range_raw	standard_mode_ideal_range_miles	cac	batt_swapped	batt_swap_count	sheet_swap_count	date_batt_swap	odo_batt_swap	pem_swapped	pem_swap_count	date_pem_swap	odo_pem_swap	motor_swapped	motor_swap_count	date_motor_swap	odo_motor_swap	voltage_charge	current_charge	range_charge_frequency	range_charge_frequency_text	standard_charge_frequency	standard_charge_frequency_text	use_type	use_type_text	drive_frequency	drive_frequency_text	lbw_frequency	lbw_frequency_text	batt_hot_frequency	batt_hot_frequency_text	pem_hot_frequency	pem_hot_frequency_text	motor_hot_frequency	motor_hot_frequency_text	tow_count	trip_distance	highway_pct	highway_speed	ownership	ownership_text	purchase	purchase_text	date_disposed	comments
1	1		01/07/2013 22:38	2008	02/06/2009	1.5	Roadster	Sammamish	WA	United States	98075	tomsax	06/05/2009	mi	74	31118	31118	234	234	181	181	150.87	YES	1	11	11/15/2010	13905	NO				NO				238	32	9	Monthly	2	Daily	2	Daily driver, except in winter	4	A few times per week	10	A few times per year	8	Never	8	Never	0	n/a	0	30	70	65	1	Own	1	New		
7	2		01/08/2013 01:10	2010	09/23/2009	2.0	Roadster	redmond	WA	United States	98052	ChadS	10/02/2009	mi		36500	36500			176	176		NO					YES	1	06/10/2011	20000	NO				240	32	9	Monthly	2	Daily	1	Daily driver, year-round	4	A few times per week	7	Rarely	8	Never	8	Never	0	n/a	0	8	50	60	1	Own	1	New		Looking good. &quot;Ownership status&quot; dropdown choices seem to assume a Leaf.
8	3		01/10/2013 22:18	2008	01/01/2009	1.5	Roadster	Redmond	WA	United States	98053		03/01/2009	mi	20	58008	58008	221	221	172	172	142	NO					YES	1	07/01/2009	4000	NO				240	40	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	40	35	60	1	Own	1	New		The range mode mileage is estimated. It's been several weeks since it was charged in that mode, and that value is my recollection of it -- it could've been +/- a few miles from that value.
9	4		01/10/2013 22:18	2010	03/16/2010	2.0	Roadster	Salt Spring Island	BC	Canada		Vger	05/13/2010	km		31058	19302.672467371038	368	228.7134866376631448	280	174.0211311373523928		NO					NO				NO				240	40	6	A few times per month	2	Daily	1	Daily driver, year-round	3	Most days of the week	10	A few times per year	8	Never	8	Never	0	n/a	2	25	30	100	1	Own	1	New		Love the car, and expect to keep it for my lifetime.
10	5		01/12/2013 00:00	2011	01/01/2011	2.5	Roadster	Coeur d'Alene	ID	United States	83814		02/17/2011	mi		12616	12616			187	187		NO					NO				NO				220	32	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	0	n/a	0	50	60	70	2	Lease	1	New		
11	6		01/12/2013 14:28	2008	02/27/2009	1.5	Roadster	Woodinville	WA	United States	98077		03/27/2009	mi		27477	27477			192	192		YES	1	1000	07/25/2011	14439	NO				NO				120	15	8	Never	1	More than once per day	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	25	15	60	1	Own	1	New		The new battery had 2400 miles on it. I'm not sure what my odometer reading was when I received the new battery, but I have been consistent in my usage, so I'd estimate 16,839. I subtracted 2400 off that to compute the odometer value.
13	7		01/13/2013 19:13	2011	04/06/2011	2.5	Roadster	Hong Kong		China		markwj	05/05/2011	km		19000	11808.5767557489123679			301	187.0727159726538222		YES	2	0	01/11/2012	10000	YES	1	01/11/2012	10000	NO				220	56	11	About once per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	10	A few times per year	0	n/a	0	40	50	80	1	Own	1	New		I've typically not participated in these surveys before, as my roadster had to have two battery swaps in the first year. 1] The fault was not the battery, but the 400V converter in the front blowing and that blowing the fuse in the battery. 2] The PEM was replaced once, and that again blew the fuse in the battery. Tesla HK just swap battery packs in such cases (to save time for owner).    Sorry, no number for ideal range following a range mode charge, as I don't range mode charge.
14	8		01/14/2013 19:46	2010	06/03/2010	2.0	Roadster	Seattle	WA	United States	98112		06/25/2010	mi		13103	13103			191	191		NO					YES	1	07/25/2012	11545	NO				220	40	11	About once per year	4	A few times per week	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	20	80	70	1	Own	1	New		Ideal miles after a normal charge changes depending on the weather from a low of 189 when it is cold to 191 when it is above 40 degrees F.
15	5		01/15/2013 11:56	2011	01/01/2011	2.5	Roadster	Coeur d'Alene	ID	United States	83814		02/17/2011	mi		12616	12616	240	240	187	187		NO					NO				NO				220	32	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	0	n/a	0	50	60	70	2	Lease	1	New		
16	9		01/15/2013 14:05	2010	03/15/2010	2.0	Roadster	Ottawa	ON	Canada		Doug_G	07/01/2010	km		32000	19888.129272840273	370	229.9564947172156619	285	177.1286513362336855		NO					NO				NO				240	40	10	A few times per year	2	Daily	2	Daily driver, except in winter	2	Daily	12	Less than once per year	8	Never	11	About once per year	0	n/a	0	35	20	110	1	Own	1	New		
17	10		01/15/2013 19:16	2010	05/12/2010	2.0	Roadster	Toronto	ON	Canada			07/29/2011	km		14385	8940.3356121814791796	390	242.3865755127408328	298	185.2082038533250466		NO					NO				NO				240	40	10	A few times per year	6	A few times per month	2	Daily driver, except in winter	3	Most days of the week	11	About once per year	8	Never	8	Never	0	n/a	0	10	33	120	1	Own	2	Used		One alert that you're missing is on motor overheating.  That's the only one I've hit when running the car hard.    I also noticed there isn't input validation on the date fields - I got a SQL error when I accidentally swapped the day and month.  The entry box should be wider too to see the year.
18	11		01/15/2013 19:18	2011	01/01/2011	2.5	Roadster Sport	Loomis	CA	United States	95650	bonnie1194	02/06/2011	mi		17007	17007	235	235	181	181		YES	2	0	10/15/2012	15000	YES	1	06/01/2012	13000	NO				110	36	9	Monthly	2	Daily	1	Daily driver, year-round	3	Most days of the week	12	Less than once per year	10	A few times per year	12	Less than once per year	0	n/a	0	30	30	70	1	Own	1	New		Overheating only happens in the 100+ temps during summer.
19	12		01/15/2013 23:32	2008	04/01/2009	1.5	Roadster	Santa Cruz	CA	United States	95060	wiztecy	04/15/2012	mi		14100	14100	232	232	181	181		NO					NO				NO				220	30	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	10	A few times per year	8	Never	8	Never	0	n/a	0	70	80	65	1	Own	2	Used		Feel free to contact me if you have any questions
20	13		01/16/2013 00:08	2011	02/16/2011	2.5	Roadster	Bellevue	WA	United States	98005	S2000 Roadster	05/27/2011	mi		20266	20266	215	215	182	182		NO					NO				NO				247	40	9	Monthly	3	Most days of the week	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	0	n/a	1	30	85	60	1	Own	1	New		Thanks for doing this survey, Tom!
21	14		01/16/2013 00:53	2010	11/29/2010	2.5	Roadster	Thetford	VT	United States	05075		06/24/2011	mi		14968	14968	243	243	188	188		NO					NO				NO				240	40	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	10	A few times per year	8	Never	10	A few times per year	0	n/a	0	50	40	68	1	Own	1	New		
22	15		01/16/2013 02:13	2010	06/01/2009	2.0	Roadster	Sherman Oaks	CA	United States	91423	DrComputer	07/10/2009	mi		16000	16000	230	230	185	185		NO					NO				NO				240	70	10	A few times per year	4	A few times per week	3	Occasional	4	A few times per week	12	Less than once per year	11	About once per year	12	Less than once per year	0	n/a	0	30	50	70	1	Own	1	New		
23	16		01/16/2013 03:45	2008	03/23/2009	1.0	Roadster	Redmond	WA	United States	98052	nwtrc	05/06/2009	mi		31525	31525	230	230	177	177		NO					NO				NO				230	70	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	12	Less than once per year	8	Never	8	Never	0	n/a	0	40	50	60	1	Own	1	New		
24	17		01/16/2013 06:06	2008	03/09/2009	1.5	Roadster	Kingsport	TN	United States	37664	Dhrivnak	03/25/2011	mi		14500	14500			175	175		NO					NO				NO				240	40	9	Monthly	2	Daily	1	Daily driver, year-round	4	A few times per week	10	A few times per year	8	Never	11	About once per year	0	n/a	0	25	60	65	1	Own	2	Used		
29	18		01/16/2013 10:54	2010	11/15/2010	2.5	Roadster Sport	Grimsby	ON	Canada		Jaff	12/20/2010	km		46786	29077.688004972032	372	231.1995027967681790	285	177.1286513362336855		NO					NO				NO				240	32	6	A few times per month	3	Most days of the week	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	12	Less than once per year	0	n/a	0	3	80	70	2	Lease	1	New		The only time I have had a power  limit due to PEM temp (other than the 2 times my PEM fans failed and  had to be replaced)was the one time I took the car to the track...it  was a one off as I don't think I'll do it again.  Thanks for performing this task on our behalf Tom!    Jaff
25	19		01/16/2013 16:58	2010	10/07/2010	2.5	Roadster	Belmont	CA	United States	94002	strider	11/02/2010	mi		25192	25192			180	180		NO					NO				NO				240	24	10	A few times per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	12	Less than once per year	0	n/a	0	50	90	50	1	Own	1	New		Don't Range charge very often so don't know that off the top of my head.  I drive my car M-F so chose &quot;most days of the week&quot;.
26	20		01/16/2013 17:01	2008	02/03/2009	VP	Roadster	Newcastle	WA	United States	98059	jackyche	10/01/2012	mi		8900	8900	235	235	188	188	153.5	NO					NO				NO				110	15	12	Less than once per year	4	A few times per week	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	0	n/a	0	8	20	60	1	Own	2	Used		
30	21		01/16/2013 19:04	2008	10/20/2008	1.5	Roadster	Emerald Hills	CA	United States	94062		11/25/2008	mi		16000	16000	220	220	182	182		YES	1	1	01/01/2001	0	NO				YES	1	05/26/2011		240	70	10	A few times per year	2	Daily	1	Daily driver, year-round	4	A few times per week	11	About once per year	11	About once per year	11	About once per year	0	n/a	0	20	50	75	1	Own	1	New		I don't remember the date when they replaced one of the sheets in my ESS
